                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1171,                0.83524,                0.90623,                 1.1552,                0.84803,                0.89004,                0.77234,                0.75727,                0.82222,                0.59866,                0.92458,                0.68302,                0.86502,                0.90046,                0.56366,                0.83807,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0742,                0.79857,                0.88771,                 1.1426,                0.81103,                0.87271,                 0.7588,                0.78875,                0.81457,                0.57407,                 1.0388,                0.72047,                0.87572,                0.97811,                0.60672,                  0.847,               0.007822,               0.007822,               0.007822
                     47,                 1.0337,                0.79769,                0.90032,                 1.0603,                0.79344,                0.87963,                0.80416,                0.74706,                0.81796,                0.58844,                0.91369,                0.69052,                0.87069,                0.90318,                0.56702,                0.84395,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0775,                0.78108,                0.89083,                 1.1207,                 0.7864,                0.87464,                0.86747,                0.76159,                0.86158,                0.64538,                0.84434,                0.63502,                0.85836,                0.84464,                 0.5187,                0.83667,               0.007723,               0.007723,               0.007723
                     49,                 1.0244,                0.76037,                0.88734,                 1.0703,                0.73591,                0.86901,                0.86061,                 0.7901,                0.86837,                0.64013,                0.87535,                0.64801,                0.85635,                0.89453,                0.53534,                 0.8383,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0378,                0.77183,                0.89662,                  1.099,                0.76692,                0.88018,                0.89058,                0.77712,                0.85936,                0.64642,                0.86546,                0.62102,                0.85704,                0.86456,                 0.5114,                0.83203,               0.007624,               0.007624,               0.007624
                     51,                 1.0205,                0.76585,                0.88863,                 1.0758,                0.77096,                0.87176,                0.87692,                0.78286,                0.86561,                0.65943,                0.81922,                0.61773,                0.85208,                0.80949,                 0.4988,                0.82942,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0294,                0.73402,                 0.8795,                 1.0688,                0.71507,                0.86751,                0.86477,                0.75293,                0.86348,                0.63671,                0.91512,                0.63386,                0.85881,                0.93339,                0.52531,                0.83671,               0.007525,               0.007525,               0.007525
                     53,                 1.0098,                0.73668,                0.88628,                 1.0701,                0.71766,                 0.8741,                 0.8377,                0.77991,                0.86687,                0.65488,                0.87739,                0.62228,                0.85384,                0.86564,                0.50679,                0.83387,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0151,                0.72811,                0.88802,                  1.067,                0.72181,                0.87575,                 0.8385,                0.78065,                0.86425,                0.65761,                  0.829,                0.60958,                0.84724,                0.85698,                0.49252,                0.83392,               0.007426,               0.007426,               0.007426
                     55,                 1.0003,                0.72681,                 0.8758,                 1.0622,                0.70285,                0.86179,                0.83143,                0.81448,                0.89983,                0.68619,                0.80984,                0.60129,                0.85106,                0.83959,                 0.4679,                0.83479,              0.0073765,              0.0073765,              0.0073765
                     56,                0.99644,                 0.7294,                0.88643,                 1.0729,                0.73131,                0.87231,                0.76766,                 0.7952,                0.87722,                 0.6557,                0.88346,                0.61272,                0.85639,                0.87657,                 0.4836,                0.83775,               0.007327,               0.007327,               0.007327
                     57,                0.96833,                0.70273,                0.87907,                 1.0149,                0.68914,                0.86475,                0.78819,                0.82148,                 0.8876,                0.66256,                0.83837,                0.63444,                0.85255,                0.85571,                0.52376,                0.83738,              0.0072775,              0.0072775,              0.0072775
                     58,                0.98921,                0.69449,                0.87633,                 1.0553,                 0.6838,                0.86431,                0.73173,                0.86481,                0.88473,                0.69343,                0.82838,                0.58935,                0.84858,                 0.7923,                0.47434,                0.83232,               0.007228,               0.007228,               0.007228
                     59,                0.95858,                0.70087,                0.87004,                 1.0237,                0.67565,                 0.8607,                0.86265,                0.83928,                0.90542,                0.69926,                0.75818,                0.56382,                0.84041,                0.77985,                0.44494,                 0.8271,              0.0071785,              0.0071785,              0.0071785
                     60,                0.97229,                0.70373,                0.87145,                 1.0478,                 0.6808,                 0.8635,                0.87799,                0.75487,                 0.8839,                0.66685,                0.90535,                0.65068,                0.85622,                0.86369,                0.49834,                0.83635,               0.007129,               0.007129,               0.007129
